temperature_K,lattice_target_angstrom,pointwise_pressure_GPa,zero_pressure_GPa,zero_pressure_mass_shift_Ha_per_bohr2,zero_A1_Ha_per_bohr2,zero_chi_soft,zero_epsilon_r,zero_lattice_parameter_angstrom,zero_isotropic_strain,zero_mean_u_component_variance_bohr2,zero_delta_A1_quartic_local,zero_delta_A1_quartic_homogeneous,zero_delta_A1_quartic_inhomogeneous,zero_delta_A1_sextic,zero_delta_A1_octic,zero_root_residual,lattice_matched_pressure_GPa,lattice_matched_pressure_mass_shift_Ha_per_bohr2,lattice_matched_A1_Ha_per_bohr2,lattice_matched_chi_soft,lattice_matched_epsilon_r,lattice_matched_lattice_parameter_angstrom,lattice_matched_isotropic_strain,lattice_matched_mean_u_component_variance_bohr2,lattice_matched_delta_A1_quartic_local,lattice_matched_delta_A1_quartic_homogeneous,lattice_matched_delta_A1_quartic_inhomogeneous,lattice_matched_delta_A1_sextic,lattice_matched_delta_A1_octic,lattice_matched_root_residual,affine_pressure_pressure_GPa,affine_pressure_pressure_mass_shift_Ha_per_bohr2,affine_pressure_A1_Ha_per_bohr2,affine_pressure_chi_soft,affine_pressure_epsilon_r,affine_pressure_lattice_parameter_angstrom,affine_pressure_isotropic_strain,affine_pressure_mean_u_component_variance_bohr2,affine_pressure_delta_A1_quartic_local,affine_pressure_delta_A1_quartic_homogeneous,affine_pressure_delta_A1_quartic_inhomogeneous,affine_pressure_delta_A1_sextic,affine_pressure_delta_A1_octic,affine_pressure_root_residual,lattice_matched_error_angstrom,affine_lattice_error_angstrom
510.0,4.014736745807164,-1.8397355277279448,0.0,0.0,0.015075987407962425,16.348053485035077,212.28269891631686,4.000075339457319,0.003279493217285705,0.018046890715125174,0.09405158553468111,-0.01171746185067983,-0.006083231062237707,-0.07835789385918918,0.05762606184161436,4.769622197198231e-14,-1.8397355277279448,-0.009720025088259544,0.012416525023171143,19.849599467254095,256.28442345210135,4.0147367458071646,0.006956796038917322,0.019295588808610507,0.10055919049557337,-0.012528214932991581,-0.006309433072082744,-0.08957649164079773,0.07043457245795459,4.8813383890511375e-14,-1.8437595643051672,-0.009741285609620993,0.01241139103765904,19.857810275839267,256.3876035158262,4.01476876649857,0.006964827313410843,0.01929825373030563,0.10057307876667271,-0.012529945209901357,-0.0063099072035838494,-0.08960123624152296,0.07046375973183952,4.998952640722365e-14,8.881784197001252e-16,3.202069140595398e-05
520.0,4.015235420663952,-1.8940810521810505,0.0,0.0,0.015588792285181667,15.810272147853746,205.5247393238106,4.000153258619095,0.0032990365234750896,0.01815443657286717,0.09461206205099561,-0.011787289086029258,-0.006160760024837532,-0.07929458445269978,0.0586624369940266,5.551115123125783e-17,-1.8940810521810505,-0.01000715323964725,0.01284560227425155,19.186570097932233,247.95255066899801,4.015235420663953,0.007081871247542614,0.019422988861305307,0.1012231373849456,-0.012610933074348463,-0.006392059991094342,-0.09076326279065768,0.07183894718132773,-1.5612511283791264e-17,-1.8990760864168463,-0.010033543912304753,0.012839224442968184,19.196100946741257,248.07231884740165,4.0152751349404605,0.007091832189731856,0.01942625129499072,0.10124013959688662,-0.012613051303070107,-0.0063926439262721145,-0.0907937559342637,0.0718751531182662,6.938893903907228e-17,8.881784197001252e-16,3.971427650828474e-05
530.0,4.01573409552074,-1.948561347328627,0.0,0.0,0.016103264748056866,15.305160310105753,199.17731676896926,4.0002304494561125,0.0033183971547809266,0.018260977179662952,0.09516729969005179,-0.01185646363334514,-0.006237794858843697,-0.0802280072254747,0.05970130397195688,-1.424554918472154e-14,-1.948561347328627,-0.010294993436060816,0.013276315491137355,18.564115070149715,240.13055009911164,4.01573409552074,0.0072069464561674386,0.019548997988951794,0.10187983545189082,-0.012692748117689844,-0.0064741765385512694,-0.09194475953641791,0.07324623086424036,4.85722573273506e-17,-1.954392608528526,-0.01032580221498852,0.013268864982544433,18.574538877991007,240.2615395316582,4.015780421057329,0.0072185656025402145,0.019552755009247875,0.10189941520783384,-0.012695187470966065,-0.006474853057765081,-0.09198010370310002,0.07328846941780424,5.377642775528102e-17,0.0,4.6325536589009175e-05
540.0,4.016232770377528,-2.0031738412916504,0.0,0.0,0.01661935082499865,14.82988421631716,193.20482123027688,4.000306920575535,0.0033375772700112,0.01836652441532723,0.09571736036364517,-0.011924993205938178,-0.006314338229982658,-0.081158112563334,0.06074250765688233,1.3877787807814457e-17,-2.0031738412916504,-0.010583532089281578,0.01370861527289426,17.97869759846649,232.77397718581912,4.016232770377527,0.007332021664792301,0.019673642735090004,0.10252942302838348,-0.012773677297171054,-0.006555785713946347,-0.09312098014583618,0.07465624068701994,2.7755575615628914e-17,-2.0097091306402053,-0.010618060517672284,0.01370026060744828,17.98966133177737,232.91175152192065,4.016284648290231,0.007345033431209151,0.019677797226980345,0.10255107421226585,-0.012776374720289667,-0.006556538324425905,-0.09316031309600098,0.07470354624984515,1.3877787807814457e-16,-8.881784197001252e-16,5.187791270344633e-05
550.0,4.016731445234316,-2.057915987817736,0.0,0.0,0.017136999750079658,14.38192519574142,187.57560215767677,4.0003826809446315,0.0033565791182922087,0.018471090656691978,0.09626230857378279,-0.011992885839821842,-0.006390393236419973,-0.08208485911881631,0.061785902567628816,2.0816681711721685e-16,-2.057915987817736,-0.01087275574648619,0.014142454990440085,17.427175737995093,225.84334908521467,4.016731445234317,0.00745709687341776,0.019796949378775935,0.10317203706803643,-0.012853737675223563,-0.006636890941982477,-0.09429192945758404,0.07606880493995387,7.112366251504909e-17,-2.065025652751884,-0.010910318820356042,0.014133361919928419,17.43838797035018,225.98424615240302,4.016787839641049,0.007471241444958216,0.01980140969592104,0.10319528206387016,-0.012856633664167848,-0.006637703834930414,-0.09433442280134802,0.07612023217313445,1.5612511283791264e-16,8.881784197001252e-16,5.639440673288476e-05
560.0,4.017230120091104,-2.1127852719062945,0.0,0.0,0.0176561636619047,13.959037376667435,182.26143709489503,4.000457739811998,0.003375405019312168,0.01857468866888795,0.0968022108460953,-0.012060149823123692,-0.006465963337820337,-0.08300821290691042,0.06283135207993394,3.9343528435153985e-15,-2.1127852719062945,-0.011162651119966468,0.014577790533840096,16.90674920269701,219.3034763651121,4.017230120091103,0.007582172082042478,0.019918943876515435,0.10380781284348847,-0.012932946104853904,-0.006717496001013434,-0.09545761807451103,0.07748376218696955,9.332812300755222e-16,-2.1203421748635636,-0.011202577123039808,0.014568121951936614,16.91796988645619,219.44447963577647,4.017290017645388,0.00759719529605912,0.019923623520244602,0.10383220086242279,-0.012935984497878876,-0.00671835401216977,-0.09550247588625788,0.0775383858051331,1.0755285551056204e-15,-8.881784197001252e-16,5.9897554284482624e-05
570.0,4.0177287949478915,-2.167779214337414,0.0,0.0,0.018176797338368026,13.559211994119824,177.2370831567738,4.000532106640132,0.003394057346408797,0.018677331512276487,0.0973371352448112,-0.01212679363565825,-0.006541052294543428,-0.08392814650647139,0.06387872772646755,3.637021239732974e-14,-2.167779214337414,-0.011453205111057208,0.015014580089525954,16.414914504136924,213.1228992620044,4.0177287949478915,0.007707247290667434,0.020039651815546216,0.10443688370293318,-0.013011319199310666,-0.00679760496179654,-0.09661806165194343,0.07890096050696713,7.528699885739343e-15,-2.175658696975243,-0.011494835425723575,0.015004495968613519,16.425946529669353,213.261531783472,4.017791204352895,0.0077229005148973994,0.020044469133392067,0.10446198921216347,-0.013014446981207968,-0.006798493535079404,-0.09666451913137458,0.07895787502610187,7.745540320236444e-15,0.0,6.24094050039048e-05
580.0,4.018227469804679,-2.222895375270769,0.0,0.0,0.01869885796233368,13.180647127303256,172.4798967387813,4.0006057910476995,0.003412538512089156,0.018779032462765907,0.09786715095748448,-0.012192825897190089,-0.006615664115456522,-0.08484463835334839,0.0649279085671182,2.42861286636753e-17,-2.222895375270769,-0.011744404829150594,0.015452783943284046,15.949426937545494,207.2734099838403,4.018227469804679,0.007832322499292535,0.02015909837667602,0.10505938087644953,-0.013088873307956118,-0.006877222134983956,-0.09777328026882574,0.08032025680399825,2.6699129018759038e-14,-2.230975219086922,-0.011787093728407331,0.0154424412933377,15.960109143585743,207.40764654392103,4.018291421313695,0.007848362506569936,0.020163976279347125,0.10508480212421696,-0.013092040426290365,-0.006878127288901416,-0.09782060244934597,0.08037857625829099,4.886022142436275e-14,0.0,6.395150901550295e-05
590.0,4.018726144661468,-2.2781313570644723,0.0,0.0,0.019222304914198927,12.821721931121298,167.96950970072723,4.000678802760072,0.0034308509556237716,0.018879804943542567,0.0983923279392105,-0.012258255323108277,-0.006689803013079323,-0.08575767211283215,0.06597878062028223,-2.0816681711721685e-17,-2.2781313570644723,-0.012036237606589263,0.015892364305453172,15.508268231714007,201.7296461866108,4.018726144661469,0.00795739770791768,0.02027730830519601,0.10567543332441653,-0.013165624497380877,-0.006956352026196616,-0.09892329787150443,0.08174151617898194,-1.0061396160665481e-16,-2.2862917411986015,-0.0120793520310911,0.015881917151418498,15.518469598808615,201.85784034629475,4.018790689569887,0.007973586548755207,0.02028217400091617,0.105700790955514,-0.013168783690001813,-0.006957260322629841,-0.09897077837624658,0.08180037381214789,-2.42861286636753e-17,8.881784197001252e-16,6.454490841889537e-05
600.0,4.019224819518255,-2.333484806441768,0.0,0.0,0.019747099587422913,12.480974605610404,163.68755252250565,4.000751151567064,0.0034489971324462745,0.018979662466737594,0.0989127366086212,-0.012323090686551822,-0.006763473365017163,-0.08666723612255584,0.06703123634920062,-5.551115123125783e-17,-2.333484806441768,-0.012328691010113784,0.016333285155537145,15.089618906306283,196.46874360608587,4.019224819518255,0.008082472916542582,0.020394305888518087,0.10628516762097019,-0.013241588536884327,-0.007034999297158104,-0.10006814178037358,0.08316461135537077,1.3877787807814457e-17,-2.341608263310281,-0.012371610333774864,0.016322884530191442,15.09923371872278,196.58956690229914,4.019289029651189,0.008098577790616651,0.020399090633693686,0.1063101033773422,-0.013244695170040437,-0.007035897812569155,-0.10011510162567226,0.08322315929117995,3.8163916471489756e-17,0.0,6.421013293333999e-05
610.0,4.019723494375043,-2.3889534160960246,0.0,0.0,0.020273205224363555,12.157083488154862,159.61741670186038,4.000822847286765,0.0034669795050826465,0.019078618583510985,0.09942844758774803,-0.012387340786000355,-0.0068366796807549516,-0.08757332289589416,0.0680851741955391,-8.673617379884035e-17,-2.3889534160960246,-0.012621752849342442,0.016775512103390976,14.69183456016615,191.47003808789844,4.019723494375043,0.008207548125167661,0.020510114939615128,0.1068887078677017,-0.013316780887722673,-0.007113168732687529,-0.1012078422530953,0.08458942215481129,-2.949029909160572e-17,-2.3969247854219597,-0.012663868636458622,0.016765306053094953,14.700778363636664,191.5824292370109,4.019786461574048,0.00822334125258294,0.02051475380485303,0.10691288336904392,-0.013319792804141608,-0.00711404503114937,-0.10125362869904132,0.08464683105111608,-9.8879238130678e-17,0.0,6.296719900511505e-05
620.0,4.020222169231831,-2.44453492583528,0.0,0.0,0.0208005867696082,11.848850766325157,155.7440500838756,4.000893899734694,0.003484800535413658,0.019176686841472158,0.09993953148011861,-0.012451014417628194,-0.006909426573065782,-0.08847592867922299,0.0691404981556806,-2.0816681711721685e-17,-2.44453492583528,-0.012915411182818288,0.01721901226516884,14.313425456095311,186.71480904229665,4.020222169231831,0.008332623333792383,0.020624758785199426,0.10748617563204958,-0.013391216695433495,-0.007190865212054881,-0.10234243209615553,0.0860158350158667,-1.1218456719142011e-14,-2.4522413075336393,-0.012956126939142387,0.017209145866337382,14.321631671865171,186.81793139100213,4.0202830048435185,0.00834788182681687,0.02062919043572669,0.1075092712314636,-0.013394094071753241,-0.007191707320212787,-0.10238641754342136,0.08607129370568924,-1.165387231161219e-14,0.0,6.0835611687792834e-05
630.0,4.020720844088619,-2.50022712333503,0.0,0.0,0.021329210738665373,11.555188398898391,152.05377993930077,4.000964318697518,0.003502462678083183,0.019273880748406257,0.1004460586817158,-0.012514120351752587,-0.006981718733382112,-0.08937505305634418,0.0701971173947024,7.632783294297951e-17,-2.50022712333503,-0.013209654321986456,0.017663754151997592,13.953038882009835,182.18605778789936,4.020720844088618,0.008457698542417486,0.02073826025796555,0.10807768990687304,-0.01346491078479917,-0.0072680936844694,-0.10347194631984881,0.08744374255250242,-3.469446951953614e-18,-2.507557829645319,-0.013248385241826154,0.017654369536425688,13.960455963979108,182.2792635888023,4.020778678457426,0.008472204278260771,0.02074242674755917,0.10809940361692866,-0.013467615997771042,-0.007268890068154535,-0.1035135272518546,0.08749645767537732,6.245004513516506e-17,-8.881784197001252e-16,5.783436880690829e-05
640.0,4.021219518945407,-2.556027844559043,0.0,0.0,0.02185904510011098,11.275105904961684,148.5341595178981,4.001034113910716,0.003519968374897485,0.01937021374145367,0.10094809922035645,-0.012576667312822665,-0.007053560910580799,-0.0902706985945546,0.07125494589398605,5.585809592645319e-16,-2.556027844559043,-0.013504470833417435,0.01810970756982439,13.60944385958823,177.86831539490043,4.021219518945408,0.008582773751042683,0.02085064169223477,0.10866336708775293,-0.013537877657018919,-0.007344859148002957,-0.10459642183152816,0.088873043148313,-4.336808689942018e-17,-2.5628743517569976,-0.013540643544509911,0.018100943957280066,13.61603290230394,177.95111574765988,4.021273500912388,0.008596313246146757,0.02085448826981781,0.10868341357256177,-0.01354037515793453,-0.007345598690375354,-0.10463501780086065,0.08892223877467297,-1.8041124150158794e-16,8.881784197001252e-16,5.3981966980920504e-05
650.0,4.021718193802195,-2.6119349739090096,0.0,0.0,0.022390059169556043,11.007699739364824,145.17383453644325,4.001103295039677,0.003537320050081867,0.01946569916100763,0.10144572261965855,-0.012638663962471682,-0.007124957892713421,-0.09116287052753762,0.07231390212889235,1.8839096949108125e-15,-2.6119349739090096,-0.013799849539597755,0.01855684352915777,13.281517845307347,173.7474755653572,4.021718193802195,0.008707848959667492,0.020961924922414967,0.10924332096496552,-0.01361013148870883,-0.007421166631482802,-0.10571589716238312,0.09030364058263878,2.42861286636753e-17,-2.618190873868677,-0.013832901847193678,0.018548837265901452,13.287250567352867,173.81951507521032,4.021767490211295,0.008720213245872882,0.020965399850517156,0.10926143059408604,-0.01361238768553043,-0.007421838612575909,-0.10575094982019957,0.09034855783358897,6.245004513516506e-17,0.0,4.929640910056321e-05
660.0,4.022216868658982,-2.6679464441432357,0.0,0.0,0.022922223514027923,10.752144020158203,141.96242665627375,4.001171871663737,0.003554520106279739,0.019560350228697263,0.10193899778429948,-0.012700118885221883,-0.007195914491282171,-0.09205157647087699,0.0733739087733765,7.015221736850208e-15,-2.6679464441432357,-0.014095779518500402,0.019005134163444525,12.968235128755104,169.81064884208848,4.022216868658982,0.008832924168292436,0.021072131283846496,0.10981766272789066,-0.013681686132451085,-0.007497021178956592,-0.10683041222429658,0.09173544368603254,2.0816681711721685e-17,-2.673507395980357,-0.014125160149877445,0.01899801876552513,12.973092169607217,169.87168421752523,4.022260663871981,0.008843908671176395,0.021075185668178304,0.10983358068815176,-0.013683669279157639,-0.007497615256509069,-0.10686138439140913,0.0917753403506008,-1.0408340855860843e-16,0.0,4.3795212998354316e-05
670.0,4.022715543515771,-2.724060236103839,0.0,0.0,0.023455509865548403,10.507682412271562,138.89043149058807,4.001239853262804,0.003571570921194947,0.019654180028910503,0.10242799290372256,-0.012761040576487742,-0.007266435527715533,-0.09293682616652621,0.07443489242880656,2.2787327580431338e-14,-2.724060236103839,-0.014392250102143497,0.019454552655128826,12.668656681761824,166.0460350490968,4.02271554351577,0.008957999376917401,0.02118128161560863,0.11038650097963794,-0.013752555118616104,-0.007572427836373903,-0.10794000809315592,0.09316836602205392,4.2327252813834093e-16,-2.7288239180920355,-0.014417418452561202,0.01944845885548144,12.672626161101748,166.0959169976283,4.022753038936784,0.008967403796534639,0.02118386924504098,0.11039998644119087,-0.013754235211305523,-0.007572934027847886,-0.10796638287140921,0.09320251617368852,-1.0408340855860843e-16,-8.881784197001252e-16,3.749542101338932e-05
680.0,4.0232142183725585,-2.7802743782872925,0.0,0.0,0.02398989104284987,10.273621003316011,135.9491290791335,4.001307249206186,0.0035884748447919776,0.01974720149338693,0.10291277537184229,-0.012821437432572394,-0.007336525821755248,-0.09381863125303429,0.07549678337457812,6.541989172603735e-14,-2.7802743782872925,-0.014689250874321309,0.0199050731684957,12.381921251873056,162.44281136884692,4.0232142183725585,0.009083074585542479,0.02128939626495648,0.11094994176016912,-0.013822751658243364,-0.007647391640186671,-0.10904472681576145,0.09460232559311348,-7.806255641895632e-17,-2.784140440203715,-0.014709676755244967,0.01990012896701258,12.384997549193486,162.48146926109538,4.023244631982829,0.009090702779741373,0.02129147346124075,0.11096076709330194,-0.013824100337558905,-0.007647800305882778,-0.10906600673827747,0.09463001920694863,1.5439038936193583e-16,0.0,3.041361027023015e-05
