temperature_K,pointwise_pressure_GPa,zero_scha_A1,zero_scha_chi_soft,lattice_matched_scha_A1,lattice_matched_scha_chi_soft,zero_post_delta_A1,zero_post_delta_A1_iid_se_diagnostic,zero_post_delta_over_A1,zero_post_A1,zero_post_dyson_stable,zero_post_chi_dyson,zero_post_chi_linearized,zero_effective_vertex_xxxx,zero_effective_vertex_xxyy,lattice_matched_post_delta_A1,lattice_matched_post_delta_A1_iid_se_diagnostic,lattice_matched_post_delta_over_A1,lattice_matched_post_A1,lattice_matched_post_dyson_stable,lattice_matched_post_chi_dyson,lattice_matched_post_chi_linearized,lattice_matched_effective_vertex_xxxx,lattice_matched_effective_vertex_xxyy
550.0,-2.057915987817736,0.017136999750079658,14.38192519574142,0.014142454990440085,17.427175737995093,-0.03423346807705056,0.0010618164869677699,-1.997634858860953,-0.017096468326970905,False,nan,43.11176030428511,5.598112022747687,1.611709006990369,-0.06229315795241474,0.0021338297074961657,-4.404691971409718,-0.048150702961974656,False,nan,94.1885167954883,6.616681984760497,1.9567823330754779
560.0,-2.1127852719062945,0.0176561636619047,13.959037376667435,0.014577790533840096,16.90674920269701,-0.035055696660410085,0.0010698360047847986,-1.9854650948918746,-0.017399532998505385,False,nan,41.67421884633167,5.673230357122213,1.6371821099982533,-0.06408761727749902,0.0021598564954081285,-4.396250387102866,-0.049509826743658926,False,nan,91.23305192970483,6.716636501249843,1.9906111705995975
570.0,-2.167779214337414,0.018176797338368026,13.559211994119824,0.015014580089525954,16.414914504136924,-0.035889705501673266,0.0010780849097607038,-1.974479047852748,-0.01771290816330524,False,nan,40.331591981903095,5.748403270930041,1.6626694078421815,-0.06590716471964808,0.002186200123738802,-4.3895443180342,-0.050892584630122126,False,nan,88.46890919678833,6.8165709023596115,2.0244279175004705
580.0,-2.222895375270769,0.01869885796233368,13.180647127303256,0.015452783943284046,15.949426937545494,-0.036735319879586795,0.0010865425113450178,-1.9645755881768354,-0.018036461917253114,False,nan,39.07502470997636,5.823619868249095,1.6881673241206885,-0.06775146538545074,0.0022128276193710676,-4.384418085059442,-0.05229868144216669,False,nan,85.8783828488542,6.916473467410727,2.0582287722911903
590.0,-2.2781313570644723,0.019222304914198927,12.821721931121298,0.015892364305453172,15.508268231714007,-0.03759237280887107,0.001095190126540297,-1.9556641608105352,-0.018370067894672146,False,nan,37.89670399169366,5.898869934546708,1.7136725101786112,-0.06962019521738803,0.002239709135559858,-4.380732399489429,-0.053727830911934865,False,nan,83.4458413343562,7.016333296742202,2.092010205334483
600.0,-2.333484806441768,0.019747099587422913,12.480974605610404,0.016333285155537145,15.089618906306283,-0.038460704310564364,0.0011040108393600627,-1.9476634601600074,-0.01871360472314145,False,nan,36.789712792142744,5.974143888927662,1.7391818289455951,-0.07151304023677313,0.002266817589517188,-4.378362316935947,-0.05517975508123599,False,nan,81.15743770260192,7.116140252359919,2.1257689389653667
610.0,-2.3889534160960246,0.020273205224363555,12.157083488154862,0.016775512103390976,14.69183456016615,-0.03934016077390351,0.0011129892944057643,-1.940500297734175,-0.019066955549539955,False,nan,35.7479076164986,6.0494327403547725,1.7646923401339967,-0.07342969587674375,0.0022941283501815655,-4.377195487337808,-0.056654183773352775,False,nan,79.00086649763907,7.215884903505298,2.1595019292780453
620.0,-2.44453492583528,0.0208005867696082,11.848850766325157,0.01721901226516884,14.313425456095311,-0.040230594397469496,0.0011221115190784385,-1.9341086308320177,-0.019430007627861297,False,nan,34.765815298915214,6.124728047497918,1.7902012866770045,-0.07536986638745348,0.0023216189680601482,-4.377130652256635,-0.05815085412228464,False,nan,76.9651587587605,7.315558476554976,2.193206349376328
630.0,-2.50022712333503,0.021329210738665373,11.555188398898391,0.017663754151997592,13.953038882009835,-0.04113186269763901,0.0011313647698705874,-1.928428726294855,-0.019802651958973634,False,nan,33.838545645083094,6.200021881829599,1.8157060822753057,-0.07733326430525297,0.002349268940711993,-4.378076350010078,-0.05966951015325538,False,nan,75.04050842210815,7.415152808924436,2.226879573975695
640.0,-2.556027844559043,0.02185904510011098,11.275105904961684,0.01810970756982439,13.60944385958823,-0.04204382807482392,0.001140737399005244,-1.9234064380337668,-0.020184782974712944,False,nan,32.96171719207752,6.27530679365357,1.8412042999442937,-0.0793196099764911,0.002377059508453878,-4.379949796023142,-0.061209902406666704,False,nan,73.2181247163801,7.514660306604041,2.2605191652304044
650.0,-2.6119349739090096,0.022390059169556043,11.007699739364824,0.01855684352915777,13.281517845307347,-0.04296635742945532,0.001150218738333617,-1.918992580773393,-0.02057629825989928,False,nan,32.13139387058713,6.350575780787436,1.8666936614656566,-0.0813286311273056,0.002404973475761915,-4.382675911424081,-0.06277178759814783,False,nan,71.49010617308492,7.614073904973743,2.2941228596652987
660.0,-2.6679464441432357,0.022922223514027923,10.752144020158203,0.019005134163444525,12.968235128755104,-0.04389932182092525,0.001159798997926303,-1.9151423854697072,-0.020977098306897327,False,nan,31.344030767837832,6.425822259651495,1.8921720276581824,-0.08336006247435317,0.0024329950546719843,-4.386186477688344,-0.06435492831090864,False,nan,69.84933268998371,7.713387032640846,2.3276885561252456
670.0,-2.724060236103839,0.023455509865548403,10.507682412271562,0.019454552655128826,12.668656681761824,-0.04484259616373719,0.0011694691772192172,-1.9118150243070293,-0.021387086298188786,False,nan,30.59642751869906,6.501040038543641,1.9176373893920258,-0.08541364537035405,0.002461109727017918,-4.390419398712638,-0.06595909271522522,False,nan,68.28937273299941,7.812593578016671,2.36121430464579
