x_ba,temperature_K,T0_reference_K,curie_constant_reference_K,epsilon_r_reference_10kHz,chi_soft_reference_10kHz,p_fit_GPa,A1_u_zero,chi_soft_zero,epsilon_r_zero,A1_u_fit,chi_soft_fit,epsilon_r_fit,relative_error_fit
0.4,510.0,190.0,100000.0,312.5,24.340865855721724,0.45129192675409424,0.008661186500981704,26.4204715511612,338.6330959006246,0.009434132663476364,24.25582082753609,311.4312926569107,-0.0034198634978857
0.4,520.0,190.0,100000.0,303.030303030303,23.587291314566915,0.49752904268196696,0.008875630714764847,25.782126240090115,330.61141214176695,0.009729730202375175,23.5189082111061,302.17097560845434,-0.002835780492100537
0.4,530.0,190.0,100000.0,294.11764705882354,22.878044687597686,0.5437661586098392,0.009088363157431164,25.17864081623784,323.0277906452757,0.010023894014677258,22.82871618688561,293.4977668370249,-0.002107592754115317
0.4,540.0,190.0,100000.0,285.7142857142857,22.209326439312413,0.590003274537712,0.009299413521838485,24.607211090366537,315.8469929299152,0.01031663773565912,22.180931172714924,285.3574602705282,-0.0012488890531513475
0.4,550.0,190.0,100000.0,277.77777777777777,21.57775920482076,0.6362403904655847,0.009508811364124686,24.065324548538168,309.03744581436644,0.010607976128347216,21.57175212121654,277.7022905388957,-0.00027175405997548197
0.4,560.0,190.0,100000.0,270.27027027027026,20.980330739761094,0.6824775063934574,0.009716586043509537,23.55072352818237,302.5707786740481,0.010897924877240213,20.997816935441936,270.4900082858309,0.0008130306575744317
0.4,570.0,190.0,100000.0,263.1578947368421,20.41434587812562,0.7287146223213301,0.009922766672330238,23.061373818915975,296.4214288673777,0.011186500412399972,20.45614116232749,263.68310976805526,0.001995817118610077
0.4,580.0,190.0,100000.0,256.4102564102564,19.8773858811894,0.7749517382492028,0.01012738207478412,22.595437780337367,290.5663039240125,0.011473719759214539,19.94406664540618,257.24819160625316,0.003267947264387283
0.4,590.0,190.0,100000.0,250.0,19.367273884099994,0.8211888541770755,0.010330460753089143,22.151251238243187,284.98449121414643,0.01175960040993079,19.45921830432632,251.1554076604864,0.00462163064194554
0.4,600.0,190.0,100000.0,243.90243902439025,18.882045399063728,0.8674259701049483,0.010532030859968062,21.727303555316627,279.65700750939243,0.012044160213701792,18.999467583315752,245.37800971004876,0.006049839811199886
0.5,300.0,230.0,100000.0,1428.5714285714287,113.15175232205974,-1.1150010333661817,0.003509240735005626,66.19824946702482,838.5363100526885,0.0018782020342626672,123.68509317845833,1560.9372935803049,0.0926561055062134
