temperature_K,epsilon_r_Barrett_reference,chi_soft_Barrett_reference,lattice_target_angstrom,pressure_lattice_pointwise_GPa,pressure_lattice_affine_GPa,pressure_dielectric_pointwise_GPa,pressure_dielectric_affine_GPa,chi_soft_zero_pressure,epsilon_r_zero_pressure,lattice_zero_pressure_angstrom,chi_soft_lattice_fit,epsilon_r_lattice_fit,lattice_lattice_fit_angstrom,chi_soft_dielectric_fit,epsilon_r_dielectric_fit,lattice_dielectric_fit_angstrom,A1_P_zero_pressure,A1_P_lattice_fit,A1_P_dielectric_fit
450.0,192.45362333966833,14.800902269040165,3.9115801034716045,-0.862797994785382,-0.8629257192060956,4.193658502027027,4.202724264083957,27.12338377607798,347.30249284569265,3.9053085242203105,32.36824096893106,413.21131215047194,3.911581033060932,14.785884853273052,192.26490892746887,3.8749271925291313,14.770002985533772,12.376713944232602,27.094249909687964
455.0,190.17211537131925,14.619345633607013,3.91179068253521,-0.886817336387701,-0.886975161550645,4.261759833735389,4.271856679560049,26.871725155741572,344.140057354247,3.9053437617653013,32.176621418714014,410.8033498654877,3.911791831370784,14.603027767166862,189.9670590139967,3.874461428621712,14.908326764604944,12.450420264367866,27.433520345087516
460.0,187.94394286395578,14.442033299302834,3.912001272935294,-0.910841429446542,-0.9110246038951944,4.330117117838013,4.340989095036139,26.625507045003022,341.0459893227391,3.9053789414598477,31.988203376954445,408.43561892230514,3.912002606489022,14.424885503550279,187.72845730730984,3.873995580088667,15.046190807683999,12.523756168158757,27.77231467465378
465.0,185.76726109850344,14.268818468047966,3.912211874672466,-0.934870320763462,-0.9350740462397437,4.398728928772091,4.410121510512231,26.384553398507975,338.01807650000103,3.9054140633031085,31.802909204072797,406.10714367319326,3.9122133580596614,14.251276592452935,185.5468233885053,3.8735296473457237,15.183598270535985,12.5967236764348,28.11063673850824
470.0,183.64030929375508,14.099561021326002,3.9124224877473375,-0.9589040536293386,-0.9591234885842931,4.467593845793103,4.4792539259883215,26.148695566248385,335.0541995675277,3.9054491273125276,31.62066348515189,403.81697642635277,3.9124240857523,14.082028747365186,183.41999224145098,3.873063630818669,15.320552351664663,12.669324903272999,28.448490380010515
475.0,181.5614058943868,13.934127145216,3.912633112160518,-0.9829426680518584,-0.9831729309288424,4.536710453847851,4.548386341464413,25.917771916070745,332.1523273957748,3.9054841335225365,31.44139296334725,401.56419660912616,3.912634789260476,13.916978293178532,181.3459070640732,3.87259753094232,15.457056287390337,12.74156204903082,28.78587944243701
480.0,179.52894417234674,13.772388980362129,3.9128437479126172,-1.0069862009695825,-1.0072223732733918,4.606077344374826,4.6175187569405045,25.69162747865248,329.31051258280115,3.9055190819833383,31.265026474746854,399.3479099494204,3.9128454683001266,13.755969636249928,179.32261260898812,3.872131348159571,15.593113347269428,12.813437393825001,29.122807765928062
485.0,177.54138811760666,13.614224294970073,3.913054395004246,-1.0310346864522506,-1.031271815617941,4.675693116037003,4.686651172416595,25.470113613429596,326.5268872561912,3.9055539727597726,31.091494884736672,397.1672476760534,3.913056122608137,13.598854773022856,177.3482490086524,3.8716650829204973,15.728726829833205,12.884953291426244,29.45927918468379
490.0,175.5972685963408,13.459516179084618,3.913265053436016,-1.055088155888488,-1.0553212579624904,4.745556375391501,4.755783587892687,25.253087694074765,323.7996591206563,3.905588805930251,30.92073102591341,395.02136573854216,3.913266751940987,13.445492833978374,175.4210460444827,3.871198735681541,15.863900058623223,12.956112163542091,29.795297524390794
495.0,173.69517975647634,13.308152758552438,3.9134757232085366,-1.0791466381622539,-1.0793707003070399,4.815665737500773,4.824916003368778,25.040412812227608,321.1271077349999,3.905623581585764,30.75266963757294,392.9094440466921,3.913477356073471,13.295749659994065,173.5393178232254,3.8707323069047357,15.998636378503512,13.026916494462338,30.130866599862625
500.0,171.8337756622557,13.160026927209087,3.9136864043224184,-1.1032101598184358,-1.103420142651589,4.886019826489096,4.894048418844869,24.831957498275,318.5075810033388,3.9056582998289437,30.587247306792086,390.8306857302088,3.9136879347975086,13.149497408460997,171.70145782727636,3.8702657970569994,16.132939152230723,13.09736882604312,30.465990212878964
505.0,170.01176714099213,13.01503609595176,3.9138970967782725,-1.1272787452180704,-1.1274695849961385,4.956617276048352,4.96318083432096,24.627595458067805,315.9394918665887,3.905692960773205,30.424402411112517,388.78431641844264,3.9138984879210175,13.006614186753584,169.90593430872738,3.8697992066094704,16.266811757264453,13.16747175300726,30.800672150208666
510.0,168.22791882659288,12.873081957470367,3.914107800576708,-1.1513524166838216,-1.151519027340688,5.027456729896446,5.032313249797051,24.427205324539923,313.42131518121636,3.9057275645419156,30.264075062826574,386.7695835402641,3.9141090152668587,12.866983710866009,168.15128599966476,3.869332536036897,16.400257582802112,13.237227918540393,31.134916181803955
515.0,166.48104638569296,12.734070265510253,3.9143185157183376,-1.17543119463782,-1.175568469685237,5.098536842191771,5.101445665273142,24.230670423272013,310.95158477322735,3.9057621112676406,30.106207054858025,384.7857556439807,3.914319516671843,12.73049498722654,166.43611811373034,3.8688657858170648,16.533280027022585,13.306640010163818,31.468726059152807
520.0,164.77001391339198,12.59791062763153,3.9145292422037707,-1.199515097729393,-1.1996179120297865,5.169856277906791,5.170578080749234,24.037878551108978,308.52889065619047,3.9057966010914282,29.95074180822683,382.8321217371603,3.9145299919858054,12.597042015877882,164.75909861617566,3.8683989564302683,16.665882494525206,13.375710755865496,31.80210551377855
525.0,163.09373148663335,12.464516310513172,3.914739980033618,-1.2236041429563993,-1.223667354374336,5.241413713163478,5.2397104962253245,23.848721767004918,306.15187640291856,3.9058310341621354,29.797624321078462,380.90799064611457,3.9147404410707223,12.466523513371818,163.11895474165328,3.867932048358821,16.798068393950725,13.444442920473422,32.1350582558759
530.0,161.45115286422006,12.333804056926096,3.914950729208491,-1.2476983457789035,-1.2477167967188851,5.313207835533411,5.308842911701416,23.663096194327043,303.8192366611457,3.9058654106358035,29.646801119257386,379.0126903947866,3.9149508637998958,12.338842653870357,161.514469740798,3.867465062086598,16.929841135772094,13.512839302255381,32.467587973073705
535.0,159.84127332332702,12.205693913568277,3.915161489729,-1.2717977202258546,-1.2717662390634346,5.385237344304853,5.3779753271775075,23.48090183390331,301.52971480421496,3.9058997306750696,29.498220208399957,377.1455676027331,3.9151612600571735,12.213906827075805,159.94447983828627,3.8669979980986153,17.06120413024421,13.580902729730488,32.79969832931522
540.0,158.2631276231642,12.080109069018212,3.9153722615957554,-1.2959022789952548,-1.295815681407984,5.457500950719388,5.447107742653598,23.302042387149932,299.2821007084327,3.9059339944486164,29.35183102751821,375.3059869018406,3.9153716297362213,12.091627411729945,158.40787138654304,3.8665308568806385,17.19216078550138,13.648636058679406,33.131392963847084
545.0,156.71578808716853,11.956975701120596,3.915583044809369,-1.3200120335490455,-1.3198651237525332,5.529997378179972,5.51624015812969,23.126425088658596,297.0752286492981,3.90596820213066,29.207584404044624,373.4933303714016,3.9155819727398424,11.971919563528541,156.90357820059674,3.866063638918818,17.32271450579337,13.71604216934057,33.46267549031006
550.0,155.1983627957615,11.836222833170552,3.91579383937045,-1.3441269942016487,-1.3439145660970826,5.602725362432637,5.585372573605781,22.953960547667254,294.90797530936555,3.90600235390046,29.06543251030676,371.7069969911586,3.915792288979329,11.854702016394569,155.43057906080514,3.865596344699357,17.4528686898507,13.783123963780366,33.793549495923166
555.0,153.70999388231687,11.717782198311038,3.9160046452796116,-1.3682471702037071,-1.367964008441632,5.675683651723655,5.654504989081872,22.784562597877336,292.7792578909928,3.906036449941873,28.925328821397308,369.9464021118836,3.9160025783738566,11.73989689614047,153.98789537126606,3.8651289747081945,17.58262672937035,13.849884363426831,34.124018540755046
560.0,152.24985592553352,11.601588111601954,3.9162154625374623,-1.392372569820017,-1.3920134507861812,5.748871006933896,5.723637404557963,22.618148155115495,290.6880323276655,3.9060704904429278,28.78722807440607,368.2109769430718,3.9162128408499144,11.62742954562942,152.57458896272917,3.864661529430723,17.711992007614665,13.916326306756277,34.454086157076254
565.0,150.81715443191896,11.487577349260004,3.9164262911446146,-1.4165032004044977,-1.4160628931307306,5.822286201692066,5.792769820034055,22.454637082373285,288.63329158803543,3.9061044755954257,28.65108622897843,366.50016805730525,3.9164230763407692,11.51722836061791,151.18976002973298,3.8641940093515212,17.84096789811525,13.98245274712344,34.78375584878624
