temperature_K,lattice_matched_pressure_GPa,lattice_matched_pressure_mass_shift_u,lattice_matched_A1_u,lattice_matched_chi_T_SCHA,lattice_matched_lattice_parameter_angstrom,lattice_matched_isotropic_strain,lattice_matched_mean_u_component_variance_bohr2,lattice_matched_delta_A1_quartic_local,lattice_matched_delta_A1_quartic_homogeneous,lattice_matched_delta_A1_quartic_inhomogeneous,lattice_matched_delta_A1_sextic,lattice_matched_delta_A1_octic,lattice_matched_residual,linear_pressure_GPa,linear_pressure_mass_shift_u,linear_A1_u,linear_chi_T_SCHA,linear_lattice_parameter_angstrom,linear_isotropic_strain,linear_mean_u_component_variance_bohr2,linear_delta_A1_quartic_local,linear_delta_A1_quartic_homogeneous,linear_delta_A1_quartic_inhomogeneous,linear_delta_A1_sextic,linear_delta_A1_octic,linear_residual,zero_pressure_pressure_GPa,zero_pressure_pressure_mass_shift_u,zero_pressure_A1_u,zero_pressure_chi_T_SCHA,zero_pressure_lattice_parameter_angstrom,zero_pressure_isotropic_strain,zero_pressure_mean_u_component_variance_bohr2,zero_pressure_delta_A1_quartic_local,zero_pressure_delta_A1_quartic_homogeneous,zero_pressure_delta_A1_quartic_inhomogeneous,zero_pressure_delta_A1_sextic,zero_pressure_delta_A1_octic,zero_pressure_residual
450.0,-1.936181611332118,-0.007188723493477257,0.005010475213671523,49.834065126546925,4.011744960723638,0.006468946182008253,0.022135456450795923,0.07130250329480366,-0.008816423876647233,-0.0042198424742246774,-0.018783482151922423,0.003964951059038433,-1.6046192152785466e-16,-5.3379782796025,-0.01981903435176647,0.0011926488471428768,209.359484739554,4.0402693103595215,0.013625151872954412,0.028088879485100925,0.09047960797581552,-0.011187637730045814,-0.00488746835276579,-0.030246001702006402,0.00810169015180986,7.945033519973776e-16,0.0,0.0,0.008103372198950689,30.813387560476194,3.995926366334135,0.002500367874774095,0.019564493608670307,0.06302094438821568,-0.007792424293097916,-0.003940703105135319,-0.014673589510014526,0.0027376518628810416,5.48172618408671e-16
455.0,-1.9604802533769605,-0.00727894035015279,0.005104057192557822,48.920366424798274,4.011994427536677,0.0065315325634670235,0.022267733104669462,0.0717285914836607,-0.008869108900429147,-0.00425579072724007,-0.019008644884347194,0.004036457714964679,4.605690828718423e-16,-5.306240959292622,-0.019701198907613755,0.00130445765813169,191.41468222945446,4.040035564661407,0.01356650961409744,0.02809688917353889,0.09050540870133963,-0.011190827942479244,-0.0049057861261020555,-0.030263253767276427,0.008108622844161122,1.2351231148954867e-15,0.0,0.0,0.008247208557097013,30.27598324746944,3.995977895299389,0.0025132954920243354,0.019665647637891113,0.06334678070055157,-0.007832713356051,-0.003972971688502371,-0.014825715073884811,0.0027803351188825914,-1.43982048506075e-16
460.0,-1.984778895421803,-0.007369157206828324,0.005197125306760251,48.044319383306785,4.012243884002539,0.006594116349019994,0.02239998944649894,0.0721546142435716,-0.008921785834041759,-0.004291732304249397,-0.019235114247428627,0.004108807799635214,3.634245682171411e-16,-5.274503638982743,-0.019583363463461043,0.0014183824336338722,176.04021467845462,4.039802784826756,0.013508109671636483,0.02810679490200717,0.09053731693139205,-0.011194773336656116,-0.004924896138438273,-0.03028459651572704,0.008117202100418323,4.7878367936959876e-15,0.0,0.0,0.00839054874848899,29.758762578910176,3.9960293696513736,0.002526209407865005,0.019766694458431672,0.06367227167339588,-0.007872959718408757,-0.004005207198058345,-0.014978462664478968,0.002823413799938406,-4.128641872824801e-16
465.0,-2.009077537466646,-0.00745937406350386,0.005289679981999156,47.203677531109975,4.012493328266031,0.006656697073234855,0.022532221834441268,0.07258055984346902,-0.008974453226960095,-0.0043276660600702855,-0.019462883331760182,0.004182003964723779,-4.0072112295064244e-16,-5.2427663186728655,-0.019465528019308332,0.0015343156234377115,162.73858148795193,4.039570904483292,0.013449935394056346,0.02811846637829324,0.09057491297004577,-0.011199422017944115,-0.00494470520765054,-0.030309753374805584,0.008127318416993483,5.852957007945747e-15,0.0,0.0,0.008533392372341785,29.26061960098686,3.9960807881031712,0.002539109299433688,0.019867631544007863,0.06399740916910837,-0.007913162373966878,-0.004037409007044244,-0.015131825941857005,0.0028668876699997387,6.245004513516506e-16
470.0,-2.033376179511488,-0.007549590920179392,0.005381721957281418,46.396367202736,4.012742758581874,0.006719274298255364,0.022664426842426352,0.07300641724733144,-0.009027109714600322,-0.004363590939438142,-0.019691945455313876,0.0042560488833814,-8.699638232023688e-16,-5.211028998362988,-0.01934769257515562,0.0016521566328645643,151.13115981027227,4.039339863869455,0.013391971788340833,0.02813178628735216,0.09061781892329195,-0.011204727260441503,-0.0049651330488176175,-0.030338476049529235,0.008138873787408686,6.723788192886104e-15,0.0,0.0,0.008675739313234785,28.780526834428013,3.9961321494651303,0.002551994868270222,0.01996845655927456,0.06432218566509942,-0.007953320392570944,-0.004069576551570865,-0.015285798782930482,0.002910756519106168,3.0184188481996443e-16
475.0,-2.0576748215563305,-0.007639807776854924,0.0054732522605792965,45.620471380690205,4.012992173306546,0.006781847611753927,0.022796601244136707,0.07343217606257839,-0.009079754011938891,-0.004399505969728597,-0.01992229414644438,0.004330945246867641,-1.1214987272190058e-15,-5.17929167805311,-0.019229857131002913,0.0017718112741596827,140.92491212501028,4.039109608945627,0.013334205296999463,0.028146648546619593,0.09066569307907187,-0.011210646812078381,-0.004986110166517943,-0.030370540661346004,0.008151780109921658,1.0217521273503394e-14,0.0,0.0,0.008817589719482688,28.317528492095093,3.996183452638129,0.002564865838625945,0.02006916734659608,0.06464659421121534,-0.00799343291484719,-0.004101709325657108,-0.015440375268692673,0.002955020161361816,1.321859288694327e-15
480.0,-2.081973463601173,-0.007730024633530459,0.005564272186407301,44.87421530582517,4.0132415708907665,0.0068444166250455196,0.022928741998249572,0.07385782649253245,-0.009132384907634605,-0.004435410254320836,-0.020153923128140468,0.004406695761399686,3.5735303605122226e-16,-5.147554357743231,-0.019112021686850195,0.0018931912677624548,131.88965761930905,4.038880090653591,0.013276623612276738,0.028162956852265195,0.09071822522448358,-0.011217142315597865,-0.005007576139192338,-0.030405744536239038,0.00816595786504524,1.1886325257393082e-14,0.0,0.0,0.008958943983155365,27.870734383709525,3.99623469660735,0.002577721955902755,0.020169761913832383,0.06497062839039523,-0.008033499147337789,-0.004133806876683764,-0.015595549672386544,0.0029996784330678975,-8.517492267046123e-16
485.0,-2.1062721056460156,-0.007820241490205992,0.005654783275143121,44.15595363497572,4.013490949872562,0.00690698097135001,0.023060846234840265,0.07428335929262189,-0.009185001258613105,-0.00447130296653358,-0.020386826303433025,0.004483303145205357,3.885780586188048e-16,-5.115817037433353,-0.018994186242697483,0.002016213788321046,123.8421984609981,4.038651264295326,0.013219215520307791,0.028180623459765505,0.090775132717776,-0.011224178822865347,-0.005029478214834928,-0.030443903515026377,0.00818133500985561,1.239286451237831e-14,0.0,0.0,0.009099802721620054,27.439314428192638,3.996285880436519,0.002590562985207837,0.020270238423030346,0.06529428228224349,-0.00807351835799668,-0.004165868801220932,-0.01575131644849481,0.0030447311909874712,3.3480163086352377e-16
490.0,-2.130570747690858,-0.007910458346881526,0.005744787293931599,43.46415895620952,4.0137403088708785,0.006969540304187339,0.023192911242824948,0.07470876572993156,-0.009237601985065437,-0.004507183344080002,-0.0206209977418253,0.00456077012575071,4.163336342344337e-16,-5.084079717123474,-0.01887635079854477,0.002140801050900218,116.63500819380617,4.03842308900862,0.01316197076955599,0.02819956815447497,0.09083615717236287,-0.011231724384852903,-0.005051770155270237,-0.030484849686547175,0.008197846047637559,1.3690437672408962e-14,0.0,0.0,0.009240166760460657,27.022493704497563,3.9963370032625836,0.0026033887100181735,0.02037059517997399,0.06561755042936919,-0.008113489872027466,-0.004197894741197342,-0.015907670222530108,0.0030901783107446183,5.811323644522304e-16
495.0,-2.1548693897357003,-0.008000675203557059,0.005834286219043802,42.79741149791903,4.013989646579673,0.007032094295896724,0.023324934458373973,0.07513403754587987,-0.009290186065833119,-0.0045430506839913955,-0.020856431666694496,0.004639099437138475,3.469446951953614e-16,-5.0523423968135965,-0.018758515354392057,0.0022668799333434237,110.1480252396007,4.038195527321638,0.013104879959065762,0.02821971737724369,0.09090106164027155,-0.011239749703377912,-0.0050744112800192665,-0.03052842946552169,0.008215431240263091,1.8523377276480346e-14,0.0,0.0,0.009380037117678585,26.619547980514902,3.9963880642907754,0.0026161989309413905,0.02047083062448856,0.06594042780615349,-0.008153413068021592,-0.004229884380377624,-0.01606460578150799,0.0031360196853317834,-6.591949208711867e-16
